coordinator	C	C
Zemilton	C	C
Silva	N	N
witnessed	C	N
this	N	N
happen	N	C
to	N	C
three	N	N
men	N	C
,	N	N
and	N	C
forensic	C	N
report	N	N
that	N	C
there	N	C
have	N	C
been	N	C
more	N	N
.	N	N
After	N	N
repeatedly	C	N
trying	N	C
to	N	C
get	N	N
someone	N	N
to	N	N
come	N	C
to	N	C
the	N	C
door	N	C
,	N	C
officers	C	N
forced	N	N
their	N	N
way	N	N
into	N	N
the	N	C
house	N	C
.	N	C
Here	N	C
,	N	C
police	N	N
say	N	C
,	N	C
they	N	N
were	N	C
met	N	C
by	N	N
gunfire	C	C
and	N	N
a	N	N
standoff	C	C
ensued	C	C
.	N	C
Prison	C	C
authorities	C	C
said	N	N
that	N	C
some	N	C
victims	C	N
were	N	N
decapitated	C	N
.	N	N
Reportedly	C	N
Conley	N	N
had	N	C
a	N	N
lengthy	C	C
history	N	N
of	N	C
violent	C	C
behavior	C	N
that	N	C
landed	C	N
him	N	N
in	N	N
prison	C	C
multiple	C	N
times	N	N
.	N	C
At	N	N
least	N	C
26	N	N
killed	N	N
in	N	N
another	N	N
Brazil	N	N
prison	N	N
riot	C	N
In	N	C
the	N	C
latest	N	C
of	N	C
a	N	N
series	C	N
of	N	N
prison	C	N
riots	C	C
in	N	N
prisons	C	N
across	N	C
Brazil	N	C
,	N	C
dozens	C	C
of	N	N
inmates	C	C
,	N	N
mostly	N	C
rival	C	C
gangs	C	N
,	N	C
were	N	C
reported	N	C
dead	N	C
at	N	N
the	N	C
State	N	C
Penitentiary	C	C
of	N	C
Alcaçuz	C	N
,	N	C
a	N	C
state	N	C
prison	N	N
located	N	C
in	N	C
Natal	N	C
,	N	C
the	N	N
capital	C	N
of	N	C
the	N	N
Brazilian	C	N
state	N	N
,	N	C
Rio	N	C
Grande	N	C
do	N	N
Norte	C	C
.	N	N
After	N	C
upwards	C	C
of	N	C
an	N	N
hour	N	N
,	N	C
with	N	N
the	N	N
house	N	N
surrounded	C	C
by	N	N
special	N	N
police	N	N
units	C	N
,	N	C
the	N	N
suspect	C	N
was	N	N
talked	N	C
out	N	N
of	N	C
the	N	N
house	N	C
.	N	N
Manning	N	N
,	N	C
who	N	C
in	N	N
2010	N	C
released	C	N
thousands	C	C
of	N	C
classified	C	C
documents	N	N
to	N	C
the	N	N
public	N	C
through	N	N
WikiLeaks	C	C
detailing	C	C
abuses	C	C
of	N	N
the	N	C
Iraq	N	C
and	N	N
Afghanistan	C	C
wars	N	N
,	N	C
has	N	C
already	N	N
served	N	C
almost	N	C
seven	N	C
years	N	C
in	N	N
prison	C	C
and	N	C
is	N	C
now	N	C
scheduled	C	C
for	N	N
release	C	N
on	N	C
May	N	C
17	N	C
of	N	C
this	N	C
year	N	N
.	N	N
The	N	C
government	N	C
says	N	C
the	N	N
dead	N	C
include	N	N
five	N	N
suicide	C	C
bombers	C	C
.	N	N
Eight	N	N
people	N	N
found	N	C
slain	C	C
inside	N	C
Houston-area	N	C
home	N	N
Saturday	N	C
night	N	N
,	N	N
police	N	C
in	N	C
Houston	N	N
,	N	C
Texas	N	C
,	N	N
United	N	N
States	N	C
,	N	C
discovered	C	C
eight	N	C
people	N	C
killed	N	C
in	N	C
a	N	N
home	N	N
.	N	C
According	C	N
to	N	C
the	N	N
BBC	N	C
,	N	N
this	N	C
figure	N	N
is	N	C
triple	C	N
the	N	N
initial	C	C
reports	N	C
.	N	N
His	N	N
government	C	N
stands	C	N
accused	C	C
by	N	C
Human	N	N
Rights	N	C
Watch	N	N
of	N	N
not	N	C
taking	N	N
adequate	C	N
measures	N	N
to	N	N
protect	N	N
the	N	C
nation	N	C
's	N	C
citizens	C	C
.	N	N
Around	N	N
21:00	N	C
local	N	C
time	N	N
,	N	N
Harris	N	C
County	N	N
Sheriff	N	C
's	N	N
Office	N	C
(	N	N
HSCO	N	N
)	N	C
deputies	C	C
arrived	N	N
at	N	C
the	N	N
home	N	N
on	N	N
a	N	C
welfare	C	C
check	C	C
.	N	N
Obama	N	C
commutes	C	C
whistleblower	C	N
's	N	N
sentence	N	C
:	N	C
Chelsea	N	N
Manning	C	N
to	N	C
walk	N	C
free	N	C
in	N	C
120	N	C
days	N	N
Yesterday	N	C
,	N	C
mere	C	C
days	N	C
before	N	C
he	N	C
is	N	C
to	N	C
leave	N	C
office	N	C
,	N	C
U.S.	N	C
President	N	C
Barack	N	N
Obama	N	C
commuted	C	C
the	N	C
sentence	C	N
of	N	C
Army	N	N
intelligence	C	C
officer	N	C
Chelsea	N	N
Manning	N	C
from	N	C
35	N	C
years	N	N
to	N	N
time	N	C
served	N	C
.	N	C
Six	N	N
of	N	C
the	N	C
victims	C	N
were	N	N
children	N	C
.	N	C
Reports	N	N
vary	C	N
but	N	N
,	N	C
as	N	N
of	N	N
Sunday	N	N
,	N	N
the	N	N
death	N	N
toll	C	C
may	N	C
have	N	N
reached	N	N
26	N	N
.	N	N
David	N	C
Conley	N	C
,	N	C
49	N	N
,	N	C
was	N	N
arrested	C	N
by	N	N
the	N	C
HSCO	C	N
and	N	N
subsequently	C	C
charged	N	C
with	N	N
the	N	C
crimes	N	N
.	N	C
Al-Qaeda	N	C
in	N	N
the	N	N
Islamic	N	C
Maghreb	C	N
claimed	C	N
a	N	C
single	N	N
bomber	N	N
from	N	N
affiliate	C	N
group	N	C
al-Mourabitoun	C	N
conducted	C	C
the	N	N
attack	N	C
.	N	C
In	N	N
the	N	N
last	N	C
two	N	C
months	N	N
,	N	N
Bayern	N	N
Munich	N	C
has	N	C
announced	C	C
Polish	N	C
striker	C	N
Robert	N	N
Lewandowski	C	C
signed	N	N
a	N	N
contract	C	N
extension	C	C
until	N	N
June	N	N
2021	N	C
and	N	C
French	N	N
winger	C	C
Franck	N	N
Ribéry	C	N
signed	N	C
a	N	C
one-year	N	N
contract	N	C
extension	C	N
with	N	C
the	N	C
club	N	C
.	N	C
